Vedette	Renvoi	Lien mort ?
APOSKEMME	APOSKEPSIE	
APPELLE	APELLE	
APULOTIQUE	EPULOTIQUE	
APYRÉNOMÈLE	APYROMÈLE	
ARACHNITE	ARACHNOÏDITE	
ARACHNITIS	ARACHNOÏDITE	
ARBRISSEAU	ARBRE	
ARBUSTE	ARBRE	
ARCANSON	BRAI	
ARCANUM	SULFATE	
ARCANUM	ACÉTATE	
ARCHET	ARCEAU	
ARCHIMÎE	ALCHIMIE	
ARCTITUDE	ARCTATION	
ARDENT	CAUSUS	
ARGEMON	ARGEMA	
ARILLE	MACIS	
ARRÉTE-BŒUF	BUGRANE	
ARTÉRIOPHTHORIE	ARTERIOCHALASIE	
ARTHRONALGIE	ARTHRALGIE	
ARYTHME	ARHYTHME	
ASA DULCIS	BENJOIN	
ASA-FŒTIDA	ASSA-FŒTIDA	
ASKÈLE	ASCÈLE	
ASSODE	ASODE	
ATRÉTISME	ATRÉSIE	
ATROPHIE	CARREAU	
ATTIRANT	ATTRACTIF	
AUTOPHIE	AUTOPSIE	
AVEUGLEMENT	NYCTALOPIE	
AVEUGLEMENT	HÉMÉRALOPIE	
BAIGNOIRE	GONDOLE	
BALLISME	BÉGAIEMENT	
BANDE	SUSPENSOIRE	
BARBIER	BÉRIBÉRI	
BARBOTINE	SANTALINE	
BARYECOIE	BARYCOÏE	
BARYTE	BARITE	
BARYUM	BARIUM	
BATTARISME	BÉGAIEMENT	
BAUME	BENJOIN	
BAUME	STYRAX	
BAUME	STORAX	
BAUME	TÉRÉBENTHINE	
BAUME	BALSAMITE	
BAUME	BALSAMITE	
BÉGAYER	ABATTRE	
BERLE	CHERVI	
BERLE	NINSI	???
BESSON	JUMEAU	
BICHIOS	DRAGONNEAU	
BICHO	DRAGONNEAU	
BILE	ICTÈRE	
BISEXUEL	BISEXE	
BLÉ	BLÉSITÉ	
BLÉ	ERGOT	
BLÉ	MAÏS	
BLÉ	MAÏS	
BLÉ	SARRASIN	???
BLÉ	SEIGLE	
BLÉ	MAÏS	
BLEPHARIDES	CIL	
BOIS	GAROU	
BOIS	ANAGYRE	
BOIS	GAÏAC	
BOIS	FAUSSE	
BOMBICIN	BOMBIQUE	
BOMBICIQUE	BOMBIQUE	
BORACIQUE	BORIQUE	
BORAX	BORATE	
BOTANOLOGIE	BOTANIQUE	
BOULE de Mars	BOULE	
BOURDAINE	BOURGÈNE	
BOURSOUFLURE	BOUFFISSURE	
BOURSSEROLE	BUSSEROLE	
BOUTEILLE	POURRITURE	
BROU	MAL	
BROWNIEN	BROWNISTE	
BUBE	PUSTULE	
BUGLOSE	ORCANETTE	
CABARET	ASARET	
CACHEXIE	POURRITURE	
CÆSARIEN	CÉSARIEN	
CAIEPUT	HUILE	
CAÏEU	CAYEU	
CALAMBAC	BOIS	
CALAMITE	STORAX	
CALCULS	BEZOARD	
CALCULS	LITHOTOMIE	
CALUS	CAL	
CALYCE	CALICE	
CALYPTRÉ	COIFFE	
CAMÉRATION	CAMAROSIS	
CAMOMILLE	PYRÈTHRE	
CAMOMILLE	MATRICAIRE	
CAMPANULE	CAMPANIFORME	
CANNE	CALAMUS	
CANNEBERGE	AIRELLE	
CANNELLE	FAUSSE	
CANNELLE	FAUSSE	
CANNELLIER	CANNELLE	
CAPELINE	BONNET	
CAPISTRATION	PHYMOSIS	
CAPISTRE	CAPELINE	
CAPRIZANT	CAPRISANT	
CAQUE-SANGUE	DYSENTERIE	
CARDIAQUE	CARDIALGIE	
CARDIAQUE	CORDIAL	
CARDIOPALME	CARDIOPALMIE	
CAROTIDAL	CAROTIDIEN	
CARRÉ	ABAISSEUR	
CARRÉ	ABAISSEUR	
CASSE	CASSE	
CASSE	FAUSSE	
CATALOTIQUE	CATULOTIQUE	
CATOPTRE	SPECULUM	
CAUTÈRE	CAUSTIQUE	
CEDMA	GOUTTE	
CEINTURE	ZONA	
CÉLIAQUE	CŒLIAQUE	
CENOBIONNIEN	CÉNOBIONAIRE	
CÉPHALIQUE	CÉPHALARTIQUE	
CÉPHALOTOMIE	CEPHALATOMIE	
CHALAZION	CHALAZE	
CHALAZOSE	CHALAZE	
CHARBON	PESTE	
CHARBON	ÀNTHRAX	
CHARBON	MALIGNE	???
CHARPIE	CES MOTS	???
CHAUVETÉ	CALVITIE	
CHÊNE	CHAMÆDRYS	
CHÈNEVIS	CHANVRE	
CHERNIBIUM	URINAL	
CHEVÉTRE	CHEVESTRE	
CHIASTRE	KIASTRE	
CHOLÉRA	CHOLÉRA	
COLOMA	CHOLOSE	
CHYMIATRE	CHIMIATRE	
CHYMIATRIE	CHIMIATRIE	
CHYMIE	CHIMIE	
CICATRICULE	HILE	
CICATRISATION	HILE	
CILIER	CILIAIRE	
CILLEMENT	CLIGNOTEMENT	
CILLER	CLIGNOTER	
CIME	CYME	
CINABRE	CINNABRE	
CINCLISME	CINCLÈSE	
CIROINE	VRILLE	
CISTE	LABDANUM	
CITROUILLE	COURGE	???
CITTA	PICA	
CLAVELÉE	CLAVEAU	
CLIGNOTEMENT	CLIGNEMENT	
CLIMACTÉRIQUE	CLIMATÉRIQUE	
CLINANTHE	PHORANTHE	???
CLIQUETIS	CRÉPITATION	
CLOU	FURONCLE	
CLOU	STAPHYLÔME	
COCHEMAR	CAUCHEMAR	
CŒCAL	CÆCAL	
CŒCUM	CÆCUM	
CŒFFE	COIFFE	
COGNASSIER	COIGNASSIER	
COLLE	ICHTHYOCOLLE	
COLLERETTE	INVOLUCRÉ	
CONCRÉTION	CALCUL	
CONFLUENT	PRESSOIR	
CONFORTANT	FORTIFIANT	
CONJOINT	CONTINENT	
CONTRACTIF	ASTRINGENT	
CONTRE-FENTE	CONTRE COUP	
CONTRE-FRACTURE	CONTRE COUP	
COPROCRITIQUE	ECCOPROTIQUE	
CORPS	CILIAIRE	
CORRODANT	CORROSIF	
COSSE	SILIQUE	
COTONNEUX	TOMENTEUX	
COUP	TOUR	???
CRAIE	CARBONATE	
CRANOLOGIE	CRANIOLOGIE	
CRÉNÉ	CRÉNELÉ	
CRÈTE	CRÈTE	
CULILAWAN	ECORCE	
CUMIN	CARVI	
CYÀNOSE	CYANOPATHIE	
CYPHOS	CYPHOME	
DAMNATA  terra	CAPUS	
DANSE	CHORÉE	
DAUPHINELLE	STAPHISAIGRE	
DÉCHIRURE	DÉCHIREMENT	
DÉFENDRE (SE)	ARMER (S’)	???
DEMI-CIRCULAIRE	CANAL	
DÉPHLOGISTIQUÉ	PHLOGISTIQUE	
DESOBSTRUCTIF	DÉSOBSTRUANT	
DÉSOPILANT	DÉSOBSTRUANT	
DÉSOPILATIF	DÉSOPILANT	
DÉSOXYGÉNATION	DÉSOXYDATION	
DÉSOXYGÉNER	DÉSOXYDER	
DÉTERGENT	DÉTERSIF	
DIACRÈSE	CRISE	
DIAPHRAGMITE	DIAPHRAGMATITE	
DIAPHYLACTIQUE	PROPHYLACTIQUE	
DIAPNOÏQUE	DIAPNOTIQUE	
DIAPYÉTIQUE	MATURATIF	
DIAPYÉTIQUE	SUPPURATIF	
DICTAME blanc	FRAXINELLE	
DICTAME blanc	MARRUBE	
DIGESTEUR	MARMITE	
DILATATOIRE	DILATATEUR	
DIORRHÈSE	DIORRHOSE	
DITRACHYCEROS	BICORNE	
DRACHME	DRAGME	
DRESSER	CABRER (SE)	
DROPACISME	DÉPILATION	
DYSPERMATISME	DYSPERMASIE	
EAU	ESSENCE	
EAUX	BONNEs	???
EAUX	EAUX	
EAUX	AIGUES-CAUDES	???
EAUX	EAUX	
ECCATHARTIQUE	CATHARTIQUE	
ECCHYMOME	ECCHYMOSE	
ECHALOTE	ROCAMBOLE	
ECLAIRE	CHÉLIDOINE	
ECLISSE	ATTELLE	
ECORCE	CANNELLE	
ECORCE	ALCORNOQUE	
ECORCE	CASCARILLE	
ECORCE	QUINQUINA	
ECORCE	QUINQUINA	
ECORCE	CASCARILLE	
ECPYÉSIS	ECPYÈME	
ECTOPROTIQUE	ECCOPROTIQUE	
ECZESME	ECZÈME	
EGILOPE	ÆGILOPS	
EGILOPS	ÆGILOPS	
ELÆOMEL	ELÉOMEL	???
ELÆOSACCHARUM	ELEOSACCHARUM	???
ELECTRICITÉ	MAGNÉTISME	
ELECTUAIRE	OPIAT	
ELECTUAIRE	CARYOCOSTIN	
ELECTUAIRE	CATHOLICON	
ELECTUAIRE	DIAPHŒNIX	
ELECTUAIRE	DIAPRUN	
ELECTUAIRE	HIERA	???
ELECTUAIRE	ELECTUAIRE	
ELECTUAIRE	HIERA	???
ELECTUAIRE	OPIAT	
ELÉVATEUR	PYRAMIDAL	
ELÉVATEUR	DELTOÏDE	
ELÉVATEUR	HOUPPE	
ELÉVATEUR	RELEVEUR	
ELIQUATION	COLLIQUATION	
ELIXIR	BAUME	
ELIXIVIATION	LIXIVIATION	
ELLÉBORE	HELLÉBORE	
ELLÉBORISME	HELLÉBORISME	
ELUXATION	LUXATION	
EMBLIC	MIROBOLAN	
EMBROCATION	FOMENTATION	
EMINENCE	CORPS	
EMINENCE	PORTE	
EMINENCE	CORPS	
EMPLATRE	EMPLATRE	
EMPLATRE	ONGUENT	
EMPLATRE	ONGUENT	
EMPLATRE	CERAT	
EMPLATRE	ONGUENT	
EMPLATRE	DIABOTANUM	
EMPLATRE	DIACHYLON	
EMPLATRE	DIAPALME	
EMPLATRE	OXYCROCEUM	
EMPLATRE	TRIAPHARMACUM	???
ENCAPUCHONNER (S’)	ARMER (S’)	???
ENCASTELÉ	ENCASTELURE	
ENCAVURE	ARGEMA	
ENCENS	OLIBAN	
ENCHATONNEMENT	CHATONNEMENT	
ENCHEVESTRURE	CHEVESTRE	
ENCHEVESTRURE	LICOL	???
ENCHYMOSE	ENCHYMOME	
ENCLYSME	CLYSTÈRE	
ENCORNÉ	JAVART	
ENFANTEMENT	PARTURITION	???
ENFLURE	TUMÉFACTION	
ENGASTRIMANDRE	ENGASTRIMYTHE	
ENGISSOME	EMBARRURE	
ENGRENURE	SUTURE	
ENKYSTEMENT	CHATONNEMENT	
ENROUEMENT	RAUCITÉ	
ENTÉRO-RAPHÉ	ENTÉRORAPHIE	
ENTRECOUPER (S')	ATTRAPER	???
ENTREPAS	AUBIN	
ENULA-CAMPANA	AUNÉE	
EPARSIE	EPARME	
EPI	SPICA	
EPIALTE	EPHIALTE	
EPICE	EPICERIE	
EPICOPHOSE	COPHOSE	
EPILAMPSIE	ECLAMPSIE	
ÉPILATOIRE	DÉPILATOIRE	
EPILEMPSIE	EPILEPSIE	
EPIPLASME	CATAPLASME	
EPIPLO-ENTÉROCÈLE	ENTÉRO-ÉPIPLOCÈLE	
EPIPLO-OMPHALE	EPIPLOMPHALE	
EPIPOME	EPIPIGME	
EPISTHOTONOS	EMPROSTHOTONOS	
EPISYNANGINE	EPISYNANCHE	
EPULIDE	EPULIE	
ESCARRE	ESCHARE	
ESCARROTIQUE	ESCHAROTIQUE	
ESCHARRE	ESCHARE	
ESQUINE	SQUINE	
ESSÈRE	SORA	???
ESTIOMÈNE	ESTHIOMÈNE	
ETHER	LIQUEUR	
ETROIT  du boyau	LEVRETÉ	???
EUPHORBE	EPURGE	
EUPHORBE	EUPHORBE	
EVACUATIF	EVACUANT	
EVULSION	AVULSION	
EXAMBLOME	EXAMBLOSIE	
EXANTHÉMATEUX	EXANTHÉMATIQUE	
EXARTHROME	EXARTHREME	
EXARTHROSE	EXARTHREME	
EXARTICULATION	EXARTHREME	
EXCRÉATION	EXSCRÉATION	
EXOÈNE	EXOINE	
EXOMBILICATION	EXOMPHALE	
EXPÉRIENCE	EXPÉRIMENT	
EXTRAIT	TEINTURE	
EXUDATION	EXSUDATION	
EXUSTION	CAUTÉRISATION	
FACIAL	ANGLE	
FAIBLESSE	DYSPEPSIE	
FAIBLESSE	POULS	
FAIBLESSE	ANESTHÉSIE	
FAIBLESSE	AMBLYOPIE	
FAIM	BOULIMIE	
FAIM	BOULIMIE	
FAIM	BOULIMIE	
FATUITÉ	FOLIE	
FAUSSE angusture	EMULSION	
FAUSSE angusture	HARMONIE	
FAUX	CYTISE	
FAUX	CARTHAME	
FAUX	BAGUENAUDIER	
FAVIFORME	FAVEUX	
FER	PYROSIS	
FERRO-CHYAZIQUE	CHYAZIQUE	
FERRO-CHYAZIQUE	CHYAZATE	
FERRO-CHYAZIQUE	CHYAZIQUE	
FEU	ZONA	
FEU	ÉRYSIPÈLE	
FEU	ÉRYSIPÈLE	
FIBULATION	BOUCLEMENT	
FIÈVRE	ADÉNO-MÉNINGÉE	
FIÈVRE	ADENO-NERVEUSE	
FIÈVRE	ADYNAMIQUE	
FIÈVRE	ALGIDE	
FIÈVRE	JAUNE	
FIÈVRE	AMPHIMÉRINE	
FIÈVRE	ANGIOTÉNIQUE	
FIÈVRE	ATYPIQUE	
FIÈVRE	AUTOMNAL	
FIÈVRE	ASODE	
FIÈVRE	BÉNIN	
FIÈVRE	BILIEUX	
FIÈVRE	CONTINU	
FIÈVRE	ÉPHÉMÈRE	
FIÈVRE	ELODE	???
FIÈVRE	ENDÉMIQUE	
FIÈVRE	EPACMASTIQUE	???
FIÈVRE	ÉPHÉMÈRE	
FIÈVRE	ÉPIDÉMIQUE	
FIÈVRE	FIÈVRE	
FIÈVRE	GASTRIQUE	
FIÈVRE	GASTRO-ADYNAMIQUE	
FIÈVRE	GASTRO-ANGIOTÉNIQUE	???
FIÈVRE	HECTIQUE	
FIÈVRE	HÉMITRITÉE	
FIÈVRE	HOMOTONE	
FIÈVRE	IDIOPATHIQUE	
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	LÉTHARGIE	
FIÈVRE	LIPYRIE	
FIÈVRE	LYNGODE	???
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	PARACMASTIQUE	
FIÈVRE	FIÈVRE	
FIÈVRE	PESTE	
FIÈVRE	PHRICODE	
FIÈVRE	FIÈVRE	
FIÈVRE	QUERQUÈRE	
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	SPORADIQUE	
FIÈVRE	FIÈVRE	
FIÈVRE	FIÈVRE	
FIÈVRE	SYNOQUE	
FIÈVRE	TÉTARTOPHIE	
FIÈVRE	TRAUMATIQUE	
FIÈVRE	TYPHODE	
FIÈVRE	TYPHUS	
FILET	FILAMENT	
FISSURE	SCISSURRE	???
FIXÉ	NITRE	
FLAMBOISE	FEU	
FLATUOSITÉ	FLATULENCE	
FLEGMATIQUE	PHLEGMATIQUE	
FLEGME	PHLEGME	
FLEURS	MACIS	
FLUX	CŒLIAQUE	
FLUX	COLLIQUATIF	
FLUX	DYSENTERIE	
FLUX	HÉMORRHOÏDAL	
FLUX	HÉPATIQUE	
FLUX	GALACTIRRHÉE	
FLUX	LIENTÉRIE	???
FLUX	MENSTRUES	
FLUX	CATARRHE	
FLUX	SUPPURATION	
FLUX	SALIVATION	
FLUX	DYSENTERIE	
FLUX	SPERMATORRHÉE	
FLUX	EPHIDROSE	
FLUX	BLENNORRHAGIE	
FLUX	DIARRHÉE	
FLUXION	ODONTALGIE	
FLUXION	GOUTTE	
FLUXION	PÉRIPNEUMONIE	
FLUXION	HÉMORRHOÏDE	
FOLIE	IDIOTISME	
FOLIE	DÈMENCE	
FOLIE	MANIE	
FOLIE	MONOMANIE	
FORCE	VITALITÉ	
FOYER	ARCÈS	???
FRANGES	GLANDE	
FRAYEUR nocturne	PANOPHOBIE	
FRÉNÉSIE	PHRÉNESIE	
FRIGIDITÉ	GASTRITE	
GABELLUM	GLABELLE	
GAÏAC	GAYAC	
GAÏACINE	GAYACINE	
GALLE	NOIX	
GALLE	BÉDEGUAR	
GALVANIQUE	ELECTRICITÉ	
GAROUTTE	GAROU	
GASTÉRALGIE	GASTRALGIE	
GASTRILOQUE	ENGASTRILOQUE	
GASTROCÉLIE	GASTROCÈLE	
GASTRO-COLIQUE	EPIPLOON	
GASTRO-INTESTINAL	EMBARRAS	
GASTRO-MÉNINGITE	GASTRO-MÉNINGINITE	
GASTRO-SPLÉNIQUE	COURT	
GATTILIER	AGNUS CASTUS	
GENÉVRIER	SABINE	
GÉNICULÉ	GENOUILLÉ	
GENOU	FÉMORO-TIBIAL	???
GÉOGONIE	GÉOGÉNIE	
GINGLYFORME	GINGLYMOÏDAL	
GINGLYMOÏDE	GINGLYMOÏDAL	
GLOUTERON	BARDANE	
GLUTINATIF	AGGLUTINATIF	
GOMME	ADRAGANT	
GOMME	ALOUCHI	
GOMME	AMMONIAQUE	
GOMME	ANIMÉ	
GOMME	COPAL	???
GOMME	BASSORINE	
GOMME	GAYACINE	
GOMME	MUCILAGE	
GOMME	HÉDÉRÉ	
GOMME	ASPHALTE	
GOMME	ELEMI	
GOMME	GALBANUM	
GOMME	GUTTE	
GOMME	KINO	
GOMME	LAQUE	
GOMME	ADRAGANT	
GONACRASIE	SPERMACRASIE	
GONDOLE	BASSIN	
GONGYLE	SPORE	
GONOZÉMIE	SPERMACRASIE	
GONYALGIE	GONALGIE	
GOURME	ACHORES	
GOURME	CROUTE	
GOUTTE	COUPEROSE	
GOUTTE	SCIATIQUE	
GOUTTE	AMAUROSE	
GOUTTES	LAUDANUM	
GRAINE	ALPISTE	
GRAINE	KERMÈS	
GRAINE	AMBRETTE	
GRAINS	PILULE	
GRAND  baume	BALSAMITE	
GRANDE consoude	CONSOUDE	
GRANDE valériane	VALÉRIANE	
GRANULATION	GLANDE	
GRATTOIR	RUGINE	
GRAVELÉ	CENDRES	
GRÊLE	DROIT	
GUIMAUVE	ABUTILON	
HELIOSE	INSOLATION	
HELMINTHIQUE	ANTHELMINTIQUE	
HELMINTHIQUE	HELMINTHAGOGUE	
HELMINTHOCORTON	MOUSSE	
HÉMATOXINE	HÉMATINE	
HEMIPLEXIE	HÉMIPLÉGIE	
HÉMOPHOBE	HÉMAPHOBE	
HÉMOPHOBIE	HÉMAPHOBIE	
HÉMOPTOÏQUE	HÉMOPTYSIQUE	
HÉMOPTYÏQUE	HÉMOPTYSIQUE	
HEMOSTASE	HÉMOSTASIE	
HÉPATIQUE	HÉPATIRRHÉE	
HÉPATO-GASTRIQUE	GASTRO-HÉPATIQUE	
HERMODACTYLE	HERMODACTE	
HERMODACTYLE	HERMODACTE	
HERPÉTOLOGIE	ERPÉTOLOGIE	
HERPÉTOLOGISTE	ERPÉTOLOGISTE	
HÉTÉROCRANIE	HÉMICRÂNIE	
HIERA DIACOLOCYNTHIDOS	DIACOLOCYNTHIDOS	
HIPPOCAMPE	CORNE (D’AMMON)	???
HIPPOCAMPE	ERGOT	
HIPPOCRATIQUE	FACE	
HONIGSTIQUE	MELLITIQUE	
HUILE	BEURRE	
HUILE	CHLORURE	
HUILE	BEURRE	
HUMEURS froides	SCROFULES	
HYALOÏDE	VITRÉ	
HYDARTHRE	HYDRARTHRE	
HYDRO-ENTÉROCÈLE	HYDRENTÉROCÈLE	
HYDRO-ENTÉROMPHALE	HYDRENTÉROMPHALE	
HYDRO-ÉPIPLO-ENTÉROCÈLE	HYDRO-ENTÉRO ÉPIPLOCÈLE	
HYDROFLUATE	FLUATE	
HYDROFLUORIQUE	FLUORIQUE	
HYDROGÈNE	AMMONIAQUE	
HYDROGÈNE	HYDROCHLORIQUE	
HYDROGÈNE	HYDRIODIQUE	
HYDROGÈNE	HYDRO-SÉLÉNIQUE	???
HYDROGÈNE	HYDROTELLURIQUE	
HYDROMURIATE	HYDROCHLORATE	
HYDROMURIATIQUE	HYDROCHLORIQUE	
HYDROPNEUMATIQUE	PNEUMATO-CHIMIQUE	
HYDROSULFURE	HYDROSULFATE	
HYDROSULFURE	HYDROSULFATE	
HYDROTIQUE	HYDRAGOGUE	
HYGRO-CIRSOCÈLE	HYDRO-CIRSOCÈLE	
HYGROSCOPE	HYGROMÈTRE	
HYGROSCOPIE	HYDROMÉTRIE	
HYPERÉPHIDROSE	HYPERHYDROSE	
HYPEROXIMURIATIQUE	CHLORIQUE	
HYPOCOPHOSIE	HYPOCOPHOSE	
HYPOGASTRIQUE	HYPOGASTRE	
HYPOSTÈME	HYPOSTASE	
HYPSILOGLOSSE	HYO-GLOSSE	
HYPSILOÏDE	HYOÏDE	
HYSTÉRICIE	HYSTÉRIE	
HYSTÉRICISME	HYSTÉRIE	
HYSTÉRISME	HYSTÉRIE	
HYSTÉRITE	MÉTRITE	
HYSTÉROMANIE	NYMPHOMANIE	
ICHOROÏDE	ICHOREUX	
ICHTHYOSE	PELLAGRE	
ICTÉRICIE	ICTÈRE	
IDIOCRASE	IDIOCRASIE	
IGASURIQUE	STRYCHNIQUE	
ILÉO-CŒCAL	MÉSOCOECUM	
ILÉOSIE	ILEUS	
ILIAQUE	COXAL	
ILIAQUE	ILES	
ILIO-LOMBAIRE	ILÉO-LOMBAIRE	
ILIO-SACRE	SACRO-ILIAQUE	
IMBRIAQUE	IMBÉCILLE	
INCUBE	CAUCHEMAR	
INDICATEUR	INDEX	
INFÉCONDITÉ	STÉRILITÉ	
INFERNAL	PIERRE	
INFLAMMABLE	COMBUSTION	
INFLAMMABLE	COMBUSTIBLE	
INFLAMMATION	FIÈVRE	
INFLAMMATION	IRRITATION	
INFUNDIBULUM	ENTONNOIR	
INGUINAL	BUBONOCÈLE	
INGUINAL	ARCADE	
INHALANT	ABSORBANT	
INHALATION	ABSORPTION	
INNOMINÉ	BRACHIO-CÉPHALIQUE	
INNOMINÉ	CRICOÏDE	
INNUTRITION	ATROPHIE	
INQUIET	ARDEUR	
INQUIÉTUDE	ANXIÉTÉ	
INTELLECT	INTELLIGENCE	
INTERCUTANÉ	SOUS-CUTANE	
INTERMÈDE	EXCIPIENT	
INTEROSSEUX	COUTEAU	
INVERSION	ANASTROPHIE	
INVISCANT	INCRASSANT	
ISCHIADIQUE	ISCHIATIQUE	
ISCHIATIQUE	GOUTTE	
ISCHIATOCÈLE	ISCHIOCÈLE	
ISOCHRONEITÉ	ISOCHRONISME	
JAIS	JAYET	
JAMBIER	PLANTAIRE	
JEUNESSE	ADOLESCENCE	
KAIEPUT	HUILE	
KARABÉ	SUCCIN	
KARABÉ	ASPHALTE	
KÉLOTOMIE	CÉLOTOMIE	
KERATOGLOSSE	CÉRATO-GLOSSE	
KÉRATOME	CERATOTOME	
KERION	ACHORES	
KINA	QUINQUINA	
KINANTHROPIE	ATHYMIE	
KINATE	QUINATE	
KININE	QUININE	
KINIQUE	QUINIQUE	
KINKINA	QUINQUINA	
KINOSPUDIE	RHEMBASME	
KIRSOCÈLE	CIRSOCÈLE	
KOBALT	COBALT	
KYNOREXIE	CYNOREXIE	
KYNORRHODON	CYNORRHODON	
KYSTALGIE	CYSTALGIE	
KYSTÉOTOMIE	CYSTOTOMIE	
KYSTOTOMIE	CYSTOTOMIE	
KYSTIRRHAGIE	CYSTIRRHAGIE	
KYSTIRRHÉE	CYSTIRRHÉE	
